prefilter_rank,feature_index,status,hits,hit_rate,mean_importance,max_importance,mutual_information,layer_index,aggregation_component,within_component_dim
793,8302,rejected,5,0.05,0.0003338302139103657,0.001980936846883879,0.10315654426813126,4,min,622
794,15332,rejected,5,0.05,0.000242190497324396,0.0014303746564508619,0.1064358800649643,7,min,740
795,7786,rejected,10,0.1,0.0003733708903591189,0.0015687471001161564,0.10016704350709915,4,min,106
796,732,rejected,14,0.14,0.0003739293443110448,0.0015973410312543248,0.09100188314914703,1,max,732
797,2181,rejected,2,0.02,0.0002556529467173977,0.001993169453927136,0.06918554753065109,1,mean,645
798,20360,rejected,5,0.05,0.00029003387991981836,0.0011744300912898875,0.08742235600948334,9,mean,392
799,21248,rejected,22,0.22,0.0005980118983770978,0.002273441875250342,0.12945032119750977,10,max,512
800,8491,tentative,36,0.36,0.0007295746086370773,0.0021019144748539247,0.06073290854692459,4,mean,43
801,27342,rejected,19,0.19,0.000523510888370042,0.002659662447965113,0.07855860888957977,12,mean,462
802,21898,rejected,13,0.13,0.00036187319156624987,0.0014669816474211846,0.10341208428144455,10,min,394
803,3072,rejected,6,0.06,0.00020068675533824944,0.0010202671134659888,0.0865745097398758,2,min,0
804,15395,tentative,60,0.6,0.0011772396125027088,0.004409387715723634,0.08726458996534348,7,mean,35
